service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Cloud Run,CPU Allocation Time (tier 2),37500000,global,152E-C115-5142,085C-A237-027A,1.26,
Cloud Run,Memory Allocation Time (tier 2),37500000,global,152E-C115-5142,600C-3782-6708,0.13125,
Cloud Run,Requests,10000000,global,152E-C115-5142,2DA5-55D3-E679,3.2,
Cloud Build,Build time e2-medium,0.0,global,8B5D-EF7D-EB12,DDCF-F323-0860,0,
,SSD disk for build time,0.0,global,8B5D-EF7D-EB12,0121-4BE5-8641,0,
,,,,,,,
,,,,,Total Price:,4.59125,
,,,,,,,
"Prices are in US dollars, effective date is 2024-12-12T15:11:08.416Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJpWlRrME1tWm1OaTB5TkdRMkxUUXdabVF0WVRoaVlTMDFPVGswWkdFeVl6WXhaaklRQWc9PRokOTVBRDRBMTctOUVDMC00NDNDLUI1MEQtMkM3OTZFMzU4NzZD,,,,,,